name,role,url
Daniel Radcliffe,Harry Potter,Harry Potter and the Deathly Hallows – Part 1
Rupert Grint,Ron Weasley,Harry Potter and the Deathly Hallows – Part 1
Emma Watson,Hermione Granger,Harry Potter and the Deathly Hallows – Part 1
Bonnie Wright,Ginny Weasley,Harry Potter and the Deathly Hallows – Part 1
Helena Bonham Carter,Bellatrix Lestrange,Harry Potter and the Deathly Hallows – Part 1
Robbie Coltrane,Rubeus Hagrid,Harry Potter and the Deathly Hallows – Part 1
Warwick Davis,Griphook,Harry Potter and the Deathly Hallows – Part 1
Tom Felton,Draco Malfoy,Harry Potter and the Deathly Hallows – Part 1
Ralph Fiennes,Lord Voldemort,Harry Potter and the Deathly Hallows – Part 1
Michael Gambon,Professor Albus Dumbledore,Harry Potter and the Deathly Hallows – Part 1
Brendan Gleeson,Alastor 'Mad-Eye' Moody,Harry Potter and the Deathly Hallows – Part 1
John Hurt,Garrick Ollivander,Harry Potter and the Deathly Hallows – Part 1
Rhys Ifans,Xenophilius Lovegood,Harry Potter and the Deathly Hallows – Part 1
Jason Isaacs,Lucius Malfoy,Harry Potter and the Deathly Hallows – Part 1
Helen McCrory,Narcissa Malfoy,Harry Potter and the Deathly Hallows – Part 1
Bill Nighy,Rufus Scrimgeour,Harry Potter and the Deathly Hallows – Part 1
Alan Rickman,Professor Severus Snape,Harry Potter and the Deathly Hallows – Part 1
Timothy Spall,Peter Pettigrew/Wormtail,Harry Potter and the Deathly Hallows – Part 1
Imelda Staunton,Dolores Umbridge,Harry Potter and the Deathly Hallows – Part 1
David Thewlis,Remus Lupin,Harry Potter and the Deathly Hallows – Part 1
Natalia Tena,Nymphadora Tonks,Harry Potter and the Deathly Hallows – Part 1
George Harris,Kingsley Shacklebolt,Harry Potter and the Deathly Hallows – Part 1
Julie Walters,Molly Weasley,Harry Potter and the Deathly Hallows – Part 1
Mark Williams,Arthur Weasley,Harry Potter and the Deathly Hallows – Part 1
Domhnall Gleeson,Bill Weasley,Harry Potter and the Deathly Hallows – Part 1
Clémence Poésy,Fleur Delacour,Harry Potter and the Deathly Hallows – Part 1
Guy Henry,Pius Thicknesse,Harry Potter and the Deathly Hallows – Part 1
Peter Mullan,Corban Yaxley,Harry Potter and the Deathly Hallows – Part 1
Carolyn Pickles,Charity Burbage,Harry Potter and the Deathly Hallows – Part 1
David Ryall,Elphias Doge,Harry Potter and the Deathly Hallows – Part 1
Richard Griffiths,Vernon Dursley,Harry Potter and the Deathly Hallows – Part 1
Fiona Shaw,Petunia Dursley,Harry Potter and the Deathly Hallows – Part 1
Hazel Douglas,Nagini,Harry Potter and the Deathly Hallows – Part 1
Daniel Radcliffe,Harry Potter,Harry Potter and the Deathly Hallows – Part 2
Rupert Grint,Ron Weasley,Harry Potter and the Deathly Hallows – Part 2
Emma Watson,Hermione Granger,Harry Potter and the Deathly Hallows – Part 2
Helena Bonham Carter,Bellatrix Lestrange,Harry Potter and the Deathly Hallows – Part 2
Robbie Coltrane,Rubeus Hagrid,Harry Potter and the Deathly Hallows – Part 2
Warwick Davis,Filius Flitwick and Griphook,Harry Potter and the Deathly Hallows – Part 2
Ralph Fiennes,Lord Voldemort,Harry Potter and the Deathly Hallows – Part 2
Michael Gambon,Professor Albus Dumbledore,Harry Potter and the Deathly Hallows – Part 2
John Hurt,Garrick Ollivander,Harry Potter and the Deathly Hallows – Part 2
Jason Isaacs,Lucius Malfoy,Harry Potter and the Deathly Hallows – Part 2
Helen McCrory,Narcissa Malfoy,Harry Potter and the Deathly Hallows – Part 2
Gary Oldman,Sirius Black,Harry Potter and the Deathly Hallows – Part 2
Alan Rickman,Professor Severus Snape,Harry Potter and the Deathly Hallows – Part 2
Maggie Smith,Professor Minerva McGonagall,Harry Potter and the Deathly Hallows – Part 2
David Thewlis,Remus Lupin,Harry Potter and the Deathly Hallows – Part 2
Julie Walters,Molly Weasley,Harry Potter and the Deathly Hallows – Part 2
Tom Felton,Draco Malfoy,Harry Potter and the Deathly Hallows – Part 2
Bonnie Wright,Ginny Weasley,Harry Potter and the Deathly Hallows – Part 2
Matthew Lewis,Neville Longbottom,Harry Potter and the Deathly Hallows – Part 2
Evanna Lynch,Luna Lovegood,Harry Potter and the Deathly Hallows – Part 2
Sean Biggerstaff,Oliver Wood,Harry Potter and the Deathly Hallows – Part 2
Jim Broadbent,Horace Slughorn,Harry Potter and the Deathly Hallows – Part 2
Gemma Jones,Poppy Pomfrey,Harry Potter and the Deathly Hallows – Part 2
Miriam Margolyes,Pomona Sprout,Harry Potter and the Deathly Hallows – Part 2
Emma Thompson,Sybill Trelawney,Harry Potter and the Deathly Hallows – Part 2
Ciarán Hinds,Aberforth Dumbledore,Harry Potter and the Deathly Hallows – Part 2
Daniel Radcliffe,Harry Potter,Harry Potter and the Prisoner of Azkaban
Rupert Grint,Ron Weasley,Harry Potter and the Prisoner of Azkaban
Emma Watson,Hermione Granger,Harry Potter and the Prisoner of Azkaban
Robbie Coltrane,Rubeus Hagrid,Harry Potter and the Prisoner of Azkaban
Michael Gambon,Albus Dumbledore,Harry Potter and the Prisoner of Azkaban
Richard Griffiths,Vernon Dursley,Harry Potter and the Prisoner of Azkaban
Gary Oldman,Sirius Black,Harry Potter and the Prisoner of Azkaban
Alan Rickman,Severus Snape,Harry Potter and the Prisoner of Azkaban
Fiona Shaw,Petunia Dursley,Harry Potter and the Prisoner of Azkaban
Maggie Smith,Minerva McGonagall,Harry Potter and the Prisoner of Azkaban
Timothy Spall,Peter Pettigrew,Harry Potter and the Prisoner of Azkaban
David Thewlis,Remus Lupin,Harry Potter and the Prisoner of Azkaban
Emma Thompson,Sybill Trelawney,Harry Potter and the Prisoner of Azkaban
Julie Walters,Molly Weasley,Harry Potter and the Prisoner of Azkaban
Harry Melling,Dudley Dursley,Harry Potter and the Prisoner of Azkaban
James Phelps,Fred Weasley,Harry Potter and the Prisoner of Azkaban
Oliver Phelps,George Weasley,Harry Potter and the Prisoner of Azkaban
Chris Rankin,Percy Weasley,Harry Potter and the Prisoner of Azkaban
Bonnie Wright,Ginny Weasley,Harry Potter and the Prisoner of Azkaban
Mark Williams,Arthur Weasley,Harry Potter and the Prisoner of Azkaban
Tom Felton,Draco Malfoy,Harry Potter and the Prisoner of Azkaban
Jamie Waylett,Crabbe,Harry Potter and the Prisoner of Azkaban
Josh Herdman,Goyle,Harry Potter and the Prisoner of Azkaban
Matthew Lewis,Neville Longbottom,Harry Potter and the Prisoner of Azkaban
Devon Murray,Seamus Finnigan,Harry Potter and the Prisoner of Azkaban
David Bradley,Argus Filch,Harry Potter and the Prisoner of Azkaban
Robert Hardy,Cornelius Fudge,Harry Potter and the Prisoner of Azkaban
Pam Ferris,Aunt Marge,Harry Potter and the Prisoner of Azkaban
Lee Ingleby,Stan Shunpike,Harry Potter and the Prisoner of Azkaban
Jim Tavaré,Tom,Harry Potter and the Prisoner of Azkaban
Dawn French,The Fat Lady,Harry Potter and the Prisoner of Azkaban
Julie Christie,Madam Rosmerta,Harry Potter and the Prisoner of Azkaban
Warwick Davis,Conductor of the Hogwarts choir,Harry Potter and the Prisoner of Azkaban
Daniel Radcliffe,Harry Potter,Harry Potter and the Goblet of Fire
Rupert Grint,Ron Weasley,Harry Potter and the Goblet of Fire
Emma Watson,Hermione Granger,Harry Potter and the Goblet of Fire
Robbie Coltrane,Rubeus Hagrid,Harry Potter and the Goblet of Fire
Ralph Fiennes,Lord Voldemort,Harry Potter and the Goblet of Fire
Michael Gambon,Albus Dumbledore,Harry Potter and the Goblet of Fire
Brendan Gleeson,Alastor 'Mad-Eye' Moody,Harry Potter and the Goblet of Fire
Jason Isaacs,Lucius Malfoy,Harry Potter and the Goblet of Fire
Gary Oldman,Sirius Black,Harry Potter and the Goblet of Fire
Alan Rickman,Severus Snape,Harry Potter and the Goblet of Fire
Maggie Smith,Minerva McGonagall,Harry Potter and the Goblet of Fire
Timothy Spall,Peter Pettigrew / Wormtail,Harry Potter and the Goblet of Fire
James Phelps,Fred Weasley,Harry Potter and the Goblet of Fire
Oliver Phelps,George Weasley,Harry Potter and the Goblet of Fire
Bonnie Wright,Ginny Weasley,Harry Potter and the Goblet of Fire
Mark Williams,Arthur Weasley,Harry Potter and the Goblet of Fire
Tom Felton,Draco Malfoy,Harry Potter and the Goblet of Fire
Jamie Waylett,Crabbe,Harry Potter and the Goblet of Fire
Joshua Herdman,Goyle,Harry Potter and the Goblet of Fire
Matthew Lewis,Neville Longbottom,Harry Potter and the Goblet of Fire
Devon Murray,Seamus Finnigan,Harry Potter and the Goblet of Fire
Alfred Enoch,Dean Thomas,Harry Potter and the Goblet of Fire
David Bradley,Argus Filch,Harry Potter and the Goblet of Fire
Warwick Davis,Professor Filius Flitwick,Harry Potter and the Goblet of Fire
Shirley Henderson,Moaning Myrtle,Harry Potter and the Goblet of Fire
Robert Hardy,Cornelius Fudge,Harry Potter and the Goblet of Fire
Louis Doyle,Ernie MacMillan,Harry Potter and the Goblet of Fire
Charlotte Skeoch,Hannah Abbott,Harry Potter and the Goblet of Fire
Robert Pattinson,Cedric Diggory,Harry Potter and the Goblet of Fire
Jeff Rawle,Amos Diggory,Harry Potter and the Goblet of Fire
David Tennant,Barty Crouch Jr.,Harry Potter and the Goblet of Fire
